id,version,time,penalty,accuracy,attemp
44125,1,0.440,0.440,95.83333333333333,0
44125,2,0.471,0.721,93.75,0
46885,0,1.036,1.286,93.75,0
46885,3,0.662,0.662,95.83333333333333,0
46885,4,0.523,0.523,95.83333333333333,1
46897,2,0.572,0.822,93.75,1
46897,3,0.640,0.640,97.91666666666667,1
46897,4,0.583,0.583,95.83333333333333,1
46897,0,0.716,0.716,97.91666666666667,0
46897,1,0.627,0.627,100,0
46895,1,0.670,1.337,91.66666666666667,0
46895,3,0.634,0.884,93.75,0
46895,4,0.670,0.670,97.91666666666667,1
46886,1,0.485,0.485,97.91666666666667,0
46886,3,0.486,1.152,91.66666666666667,0
46886,2,0.464,0.714,93.75,1
46886,4,0.435,0.435,97.91666666666667,1
46887,2,0.565,0.565,100,1
46887,3,0.510,0.510,95.83333333333333,0
46887,0,0.742,0.742,100,1
46887,1,0.510,1.177,91.66666666666667,1
46887,4,0.519,0.769,93.75,1
46889,4,0.729,0.729,97.91666666666667,1
46889,0,0.837,0.837,100,0
46889,1,0.594,0.594,95.83333333333333,1
46889,2,0.676,0.676,100,0
46889,3,0.564,0.564,97.91666666666667,0
46898,4,0.635,0.635,95.83333333333333,1
46898,3,0.637,0.637,97.91666666666667,0
46898,1,0.600,0.600,95.83333333333333,1
46898,2,0.623,0.623,100,1
46898,0,0.734,0.734,100,1
46899,4,0.421,0.421,95.83333333333333,0
46899,0,0.868,0.868,97.91666666666667,0
46899,2,0.432,0.682,93.75,0
46899,3,0.365,0.365,95.83333333333333,1
46899,1,0.377,1.044,91.66666666666667,0
46896,1,0.431,1.098,91.66666666666667,0
46896,0,0.783,0.783,95.83333333333333,1
46896,4,0.454,0.454,97.91666666666667,0
46896,3,0.446,0.446,95.83333333333333,1
96892,4,0.441,0.441,97.91666666666667,1
46890,0,0.687,1.353,91.66666666666667,1
46890,2,0.590,0.590,97.91666666666667,0
46890,1,0.507,0.757,93.75,1
46890,3,0.564,0.564,97.91666666666667,1
46891,1,0.608,0.608,100,1
46891,2,0.551,0.551,97.91666666666667,1
46891,4,0.621,0.621,97.91666666666667,1
46891,0,0.745,0.995,93.75,0
46891,3,0.553,0.553,100,1
46892,1,0.424,0.424,95.83333333333333,1
46892,0,0.616,0.866,93.75,1
46892,4,0.374,0.624,93.75,1
46893,0,0.629,1.296,91.66666666666667,1
46893,1,0.405,1.071,91.66666666666667,0
